{'key': 'office', 'docID': '46/309', 'TF-score': 0.036585365853658534}
{'key': 'research', 'docID': '46/309', 'TF-score': 0.036585365853658534}
{'key': '1', 'docID': '46/309', 'TF-score': 0.024390243902439025}
{'key': '824', 'docID': '46/309', 'TF-score': 0.024390243902439025}
{'key': '949', 'docID': '46/309', 'TF-score': 0.024390243902439025}
{'key': 'course', 'docID': '46/309', 'TF-score': 0.024390243902439025}
{'key': 'current', 'docID': '46/309', 'TF-score': 0.024390243902439025}
{'key': 'el', 'docID': '46/309', 'TF-score': 0.024390243902439025}
{'key': 'information', 'docID': '46/309', 'TF-score': 0.024390243902439025}
{'key': 'irvine', 'docID': '46/309', 'TF-score': 0.024390243902439025}
{'key': 'lab', 'docID': '46/309', 'TF-score': 0.024390243902439025}
{'key': 'magda', 'docID': '46/309', 'TF-score': 0.024390243902439025}
{'key': 'network', 'docID': '46/309', 'TF-score': 0.024390243902439025}
{'key': 'system', 'docID': '46/309', 'TF-score': 0.024390243902439025}
{'key': 'zarki', 'docID': '46/309', 'TF-score': 0.024390243902439025}
{'key': '2007', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': '3', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': '3216', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': '3425', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': '4056', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': '8584', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': '92697', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'aim', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'area', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'bren', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'ca', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'california', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'communication', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'computer', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'degree', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'e', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'ece', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'edu', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'elzarki', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'faculty', 'docID': '46/309', 'TF-score': 0.012195121951219513}
{'key': 'fax', 'docID': '46/309', 'TF-score': 0.012195121951219513}
